accX,accY,accZ,gyroX,gyroY,gyroZ,angleX
0.3594,0.8203,1.6143,1.5259,-0.7324,0,26.065
0.3667,0.8228,1.6138,1.0986,-0.1831,0.7324,26.076
0.3682,0.8242,1.6152,0.1831,0.6714,1.3428,26.087
0.3623,0.8184,1.6196,-0.6104,1.3428,1.4038,26.076
0.3516,0.8086,1.6221,-1.0376,1.2817,1.0986,26.065
0.3433,0.7983,1.6226,-0.7324,0.7324,0.6104,26.054
0.3394,0.7979,1.6182,0.1831,-0.1831,-0.1221,26.06
0.3447,0.8091,1.6177,1.1597,-0.9155,-0.6714,26.071
0.353,0.8203,1.6167,1.2207,-1.0986,-0.6104,26.087
0.3589,0.8208,1.6157,0.6104,-0.7935,-0.3662,26.093
0.3608,0.8169,1.6157,0.1831,-0.1831,-0.1221,26.093
0.3574,0.814,1.6172,0.3052,0.3662,0.061,26.098
0.3535,0.814,1.6201,0.4883,0.6714,0.3052,26.104
0.3516,0.8154,1.6216,0.4883,0.5493,0.4272,26.104
0.354,0.8145,1.6226,0.3052,0.3662,0.4272,26.109
0.3545,0.8101,1.6216,0.2441,0.3052,0.4272,26.109
0.3516,0.8091,1.6191,0.3662,0.1221,0.4272,26.109
0.3521,0.8091,1.6196,0.4272,-0.1221,0.1221,26.115
0.3555,0.8101,1.6206,0.4883,-0.3662,0.061,26.12
0.3599,0.8081,1.6196,0.4883,-0.2441,0.3052,26.125
0.3599,0.8062,1.6187,0.2441,0.1831,-0.061,26.125
0.3535,0.8062,1.6177,0.1221,0.3052,-0.6714,26.131
0.3496,0.8091,1.6167,0.4272,0.1831,-1.0376,26.136
0.3501,0.8149,1.6143,0.6714,0,-0.9766,26.142
0.3516,0.8193,1.6128,0.5493,-0.061,-0.6714,26.153
0.3516,0.8174,1.6123,0.2441,0.1221,-0.1831,26.153
0.3501,0.8145,1.6157,0.3662,0.1221,0.1831,26.158
0.3506,0.811,1.6177,0.4883,0.1221,0.5493,26.158
0.3511,0.8086,1.6177,0.7324,0.1831,0.7935,26.164
0.3491,0.8076,1.6172,0.9766,0.2441,0.9155,26.175
0.3496,0.8091,1.6177,1.0376,0.2441,0.9155,26.18
0.3525,0.811,1.6167,0.9155,0.3662,0.7935,26.191
0.354,0.8164,1.6162,0.9766,0.4272,0.8545,26.197
0.3545,0.8184,1.6162,0.1831,0.6104,1.0986,26.197
0.3481,0.8169,1.6177,-0.3052,0.4272,1.0986,26.191
0.3457,0.8115,1.6196,-0.3052,-0.1221,0.7935,26.186
0.3501,0.8081,1.6196,0.2441,-0.4272,0.6104,26.191
0.3555,0.811,1.6201,0.6714,-0.4272,0.3662,26.197
0.3604,0.8174,1.6177,0.7935,-0.1221,-0.1221,26.202
0.3599,0.8213,1.6177,0.7935,0.3052,-0.2441,26.213
0.355,0.8188,1.6206,0.3052,0.7324,0.2441,26.213
0.3462,0.8042,1.6201,0.9766,0.7324,0.7324,26.219
0.3472,0.8091,1.6167,1.8921,0.4883,0.4883,26.224
0.3506,0.8223,1.6147,2.5024,0.2441,0.5493,26.241
0.3506,0.8223,1.6147,2.5024,0.2441,0.5493,26.268
0.3579,0.8325,1.6147,1.4038,0.2441,1.2817,26.285
0.3599,0.8242,1.6177,0.6714,0.4272,1.4038,26.296
0.3599,0.8242,1.6177,0.6714,0.4272,1.4038,26.301
0.3496,0.8076,1.6201,0.2441,0.7324,0.6104,26.301
0.3433,0.8086,1.6177,0.7324,0.1831,-0.3052,26.301
0.3418,0.8149,1.6157,1.0376,-0.3662,-0.4883,26.312
0.3477,0.8213,1.6128,1.0986,-0.8545,0,26.323
0.3564,0.8247,1.6133,0.6104,-0.9155,0.5493,26.334
0.3623,0.8242,1.6152,-0.1221,-0.5493,0.7324,26.34
0.3618,0.8193,1.6177,-0.6714,0,0.5493,26.334
0.355,0.8164,1.6201,-0.6714,0.1221,0.3052,26.329
0.3506,0.8159,1.6211,-0.4272,-0.1221,0.2441,26.323
0.3555,0.8193,1.6191,0.4272,-0.4272,0,26.318
0.3555,0.8193,1.6191,0.4272,-0.4272,0,26.323
0.3569,0.8198,1.6187,0.1831,0.1831,-0.2441,26.329
0.353,0.8184,1.6177,0.061,0.3052,0.061,26.329
0.3506,0.8159,1.6196,0.1831,0.061,0.4883,26.329
0.3535,0.8135,1.6221,0.5493,-0.061,0.7324,26.334
0.3608,0.813,1.624,0.6714,0.1221,0.6714,26.34
0.3623,0.812,1.625,0.5493,0.4272,0.3662,26.345
0.3584,0.8091,1.6245,0.4272,0.6714,-0.1221,26.345
0.3545,0.8091,1.6226,0.6714,0.6714,-0.7324,26.356
0.3506,0.812,1.6211,1.3428,0.5493,-1.2207,26.373
0.3496,0.8184,1.6182,1.77,0.1221,-1.4038,26.389
0.3516,0.8237,1.6143,1.8311,-0.1221,-1.0986,26.411
0.3521,0.8247,1.6128,1.77,-0.1831,-0.6714,26.428
0.355,0.8228,1.6113,1.4648,0.061,-0.1831,26.444
0.3555,0.8203,1.6113,1.4648,0.5493,0,26.461
0.3535,0.8213,1.6104,1.2207,0.9155,-0.3662,26.472
0.3511,0.8232,1.6079,0.6714,1.0986,-0.4272,26.477
0.3477,0.8286,1.6079,0.2441,0.9766,-0.1831,26.477
0.3423,0.8306,1.6079,-0.4883,0.4883,-0.1221,26.472
0.3389,0.8242,1.6104,-0.9766,0.061,-0.1221,26.466
0.3413,0.8184,1.6104,-0.9766,-0.4272,0.061,26.455
0.3486,0.8193,1.6118,-0.9766,-0.6714,0.1831,26.444
0.3564,0.8242,1.6108,-1.0376,-0.5493,0.2441,26.433
0.3584,0.8281,1.6123,-1.77,-0.1831,0.3052,26.417
0.355,0.8247,1.6152,-2.4414,0.1221,0.3662,26.389
0.3501,0.8174,1.6196,-2.3193,0.061,0.3662,26.367
0.3472,0.8105,1.6211,-1.9531,-0.1831,0.1831,26.351
0.3496,0.8047,1.623,-1.0376,-0.4883,-0.1221,26.34
0.3545,0.8091,1.6201,-0.4883,-0.5493,-0.1831,26.334
0.3545,0.8159,1.6167,-0.6104,-0.3052,-0.2441,26.329
0.353,0.8223,1.6157,-1.0376,-0.1831,-0.3662,26.318
