time,val,increaser,decreaser
0,-50,-42,-58
1,-49,-41,-57
2,-48,-40,-56
3,-47,-41,-53
4,-46,-43,-49
5,-45,-40,-50
6,-44,-42,-46
7,-43,-38,-48
8,-42,-40,-44
9,-41,-40,-42
10,-40,-33,-47
11,-39,-31,-47
12,-38,-29,-47
13,-37,-30,-44
14,-36,-29,-43
15,-35,-32,-38
16,-34,-29,-39
17,-33,-25,-41
18,-32,-27,-37
19,-31,-25,-37
20,-30,-20,-40
21,-29,-22,-36
22,-28,-23,-33
23,-27,-19,-35
24,-26,-19,-33
25,-25,-24,-26
26,-24,-16,-32
27,-23,-15,-31
28,-22,-20,-24
29,-21,-16,-26
30,-20,-19,-21
31,-19,-15,-23
32,-18,-15,-21
33,-17,-14,-20
34,-16,-8,-24
35,-15,-12,-18
36,-14,-5,-23
37,-13,-10,-16
38,-12,-11,-13
39,-11,-5,-17
40,-10,0,-20
41,-9,-5,-13
42,-8,-2,-14
43,-7,-4,-10
44,-6,-5,-7
45,-5,-3,-7
46,-4,-2,-6
47,-3,1,-7
48,-2,6,-10
49,-1,1,-3
50,0,2,-2
51,1,11,-9
52,2,5,-1
53,3,10,-4
54,4,12,-4
55,5,12,-2
56,6,15,-3
57,7,16,-2
58,8,10,6
59,9,19,-1
60,10,15,5
61,11,13,9
62,12,20,4
63,13,19,7
64,14,18,10
65,15,21,9
66,16,19,13
67,17,21,13
68,18,23,13
69,19,27,11
70,20,24,16
71,21,26,16
72,22,29,15
73,23,24,22
74,24,32,16
75,25,28,22
76,26,28,24
77,27,35,19
78,28,32,24
79,29,37,21
80,30,37,23
81,31,39,23
82,32,36,28
83,33,39,27
84,34,44,24
85,35,42,28
86,36,46,26
87,37,40,34
88,38,45,31
89,39,46,32
90,40,48,32
91,41,50,32
92,42,49,35
93,43,50,36
94,44,54,34
95,45,48,42
96,46,53,39
97,47,51,43
98,48,50,46
99,49,55,43
100,50,57,43
